blockchain,weekly_transactions,weekly_active_addresses,weekly_transactions_change,weekly_active_addresses_change,daily_tvl_usd_change,daily_tvl_usd
tac,45548,323,-15.2,-3.582089552238806,0.0,0
lens,110051,8631,0.6,-27.918824118924338,0.0,0
fantom,307651,35240,-11.0,2.403161595908523,-8.673952862109806,6896607
henesys,3663565,39879,-0.9,5.221635883905013,0.0,0
scroll,501087,21353,1.2,-40.34641709735997,-4.981068798668144,197706389
sophon,674944,37271,21.4,1639.1973868408772,-1.7840216054419202,9792576
sonic,5407571,40400,59.3,11.022561763170188,-3.7347207426715254,127717646
bob,360492,10731,1.6,10.151919523711763,-2.033672350864208,121316498
nova,57193,2642,2.3,-20.084694494857835,-2.826402527538212,705560
ink,6464395,92851,16.7,9.27761039450146,-1.7838904749062219,282903547
taiko,291637,15200,-17.5,-34.81430654430054,-2.164890619363601,1524226
berachain,6291140,45625,32.0,-41.23216033798753,-2.5408428088371062,358924621
superseed,313376,562,-0.1,-21.06741573033708,-10.01264693841745,246191
flow,1694781,665,-1.4,-15.286624203821656,-18.414578847790608,96490522
story,2276878,20526,4.0,145.40889526542324,2.646817011825826,12603628
apechain,27688920,13094,2784.6,11.485738612175394,5.189130316336549,7567954
boba,417538,12130,-14.0,-45.04100403244076,-1.6076971074468107,3190029
katana,930678,10651,-6.2,-48.4487682106384,-4.824310899963338,481767407
b3,821557,245,-22.9,-4.669260700389105,0.0,0
unichain,7489418,19349,8.4,-14.088446851966966,-2.2524633323798047,206912403
avalanche_c,14663263,205812,-5.6,-4.949013522500554,-4.539395753240351,1411674120
abstract,2484012,220054,26.9,68.60825058232193,-2.103097766164721,37269522
hyperevm,3678973,51254,12.6,-5.496450631511017,-4.527885045701082,2009135895
arbitrum,22647450,1084461,-13.1,-20.875818357324377,-1.405733943932466,3027252161
ronin,4381041,457389,0.9,-3.8347195707569783,-4.302447351615025,30564582
degen,76301,230,11.6,-27.67295597484277,-4.385964912280702,109
linea,995452,89781,-5.3,-17.73776800439802,-6.4331893767665145,567317023
gnosis,1707168,13097,28.9,-27.636886015801977,-2.066652380811206,148914671
mantle,651962,20185,15.9,1.2845601886697777,-1.1897989283643762,376055288
hemi,251906,2178,-80.6,-6.763698630136986,5.227671702334011,102241343
optimism,12177786,188773,-1.9,-8.391526945381312,0.07669197810322752,322578176
zkevm,38122,4470,39.8,4.536950420954163,-0.7914179666660666,2093938
starknet,2098995,11038,-7.8,-29.917460317460318,-1.9545121859679042,247114825
zksync,396948,56975,-4.1,-69.5630108445964,-2.880350059044729,43316270
viction,3493595,29582,1.4,-24.504899959167005,10.18893499308437,796666
shape,374515,23991,-21.1,-51.083698644102356,-2.3546258115222702,90694
peaq,190579,5525,-3.5,-43.931398416886545,-2.7617488350464527,2509306
plume,2331648,52964,-14.0,-32.42663944883899,-5.07319605300007,181984042
noble,129758,0,0.0,0.0,0.0,0
flare,3810596,28790,7.3,-13.33534015653221,-1.6821049857840549,201385442
ethereum,10957485,2569122,1.0,0.8009548367251172,-1.5774009813722358,75962648813
worldchain,12826035,365369,-6.5,-11.420543255850037,-3.221102185413078,45708957
celo,11027238,971033,9.8,1.6560686924605377,10.774191000778973,63062411
polygon,34486923,3997327,8.9,54.36317366656884,-0.4071817601206486,1240497080
kaia,3198669,1110732,-53.9,-69.23693909299915,-2.4091758535625427,21803091
bitcoin,2832042,2930049,2.2176423879304124,-9.5,-2.0318090279750156,7607490642
base,96137023,2726240,13.3,-18.55415582211834,-2.2473220825133335,4784402196
corn,56674,244,17.8,5.627705627705628,-5.934670439220947,2026313
ton,13744989,1178250,7.4,-7.246976916639968,-2.77126056382661,104839916
fuel,3618186,153,1.9,240.0,2.5851825342644434,5583970
somnia,56038431,201166,-1.8,-21.500177551968097,0.0,0
sui,38508872,2841440,18.3,-40.00411312530379,-14.977398711809201,1341651842
monad_testnet,8178870,554977,-95.4,-31.019511722197226,0.0,0
opbnb,26199476,6847646,-41.0,-10.14646830334168,-0.3456411483420864,23373892
tron,71339623,6410485,-6.1,-51.773422651325205,-1.3538243309920281,4892516387
aptos,38019046,7641326,-1.5,-4.9,-2.7541642219909135,600821298
bnb,128307751,11112201,-5.2,-6.721081183173667,-2.954228657778914,7501116922
stellar,31108150,152755,15.6,-10.7,-2.528855233882083,148124960
near,29594555,15738439,-4.0,-1.1,-39.85528294040103,117089082
sei,41166049,1585316,0.4,-12.3,-0.8902384517630273,238678773
xrpl,14849664,104366,10.2,-7.710945651981677,-5.691233966617006,81928379
solana,559278349,12749900,2.9,13.079608491378478,-3.932031951935019,10034753227
